client_id,nom,prenom,email,mot_de_passe,adresse_ligne1,adresse_ligne2,ville,code_postal,pays,telephone,date_creation,commande_id
1,Reilly,Mikayla,rbuckley@example.org,)2T0B11r4X,"196 Lewis Mountains, Port Monica, WY 60683","286 Yolanda Crossing Suite 177, North Taylor, NH 90421",Adkinsmouth,97166,United States Minor Outlying Islands,8186247715,2023-12-23,3
2,Patel,Isaac,alvarezanthony@example.org,j@jOSr29(1,"477 Thomas Vista, Lake Samantha, CT 86954","7067 Alan Viaduct Suite 387, Floydview, MD 97404",New Micheal,93314,Germany,+1-524-305-2373x999,2023-12-23,3
3,Jones,David,mdunlap@example.com,*CFsWGw6$6,"141 Campbell Camp Apt. 151, East Emily, CO 37174","386 Scott Parks, Lake Davidland, WA 27589",Robinsonburgh,39166,Svalbard & Jan Mayen Islands,7544971816,2023-04-11,1
4,Robinson,Samantha,jeanettewatts@example.org,J+(8HO8e$&,"PSC 6656, Box 7814, APO AP 31184","7287 Michael Ford, Port Reginald, ND 85320",Eddiehaven,73560,Malaysia,+1-789-718-1436x429,2023-04-26,1
5,Campbell,Randy,ginasalazar@example.net,W7I9O*Yy*v,"68957 Cortez Pines Suite 669, Caseyberg, AK 61326","921 Martinez Passage Apt. 032, Port Matthew, OK 16525",Huynhchester,19893,Costa Rica,001-989-438-4763x00103,2023-12-13,1
6,Riley,Amber,fbarton@example.com,Z9w5u4Iq^5,"561 Mills Hill Apt. 844, Lauraborough, WA 35902","75920 Harrison Ford Suite 677, Hallview, MD 48776",Prattburgh,96555,New Caledonia,(862)685-1859x347,2023-08-01,1
7,Barrett,Meghan,mckinneymark@example.org,$+kD4ETwZz,"0961 Kevin Terrace Apt. 212, South Christopherton, NJ 80460","08407 Derek Road Apt. 740, Devonchester, IA 88905",Martinport,95666,Gambia,001-865-772-4490x7682,2023-01-08,4
8,Brown,Karen,luisschwartz@example.net,&3edtdWRts,"4022 Ashley Key, North Matthew, WV 16710","65350 Mark Islands, New Josephside, GU 64605",Adrianborough,57049,Germany,(834)442-1107x46975,2023-10-17,3
9,Stephens,Amanda,uzimmerman@example.org,eC8q_7Lmfl,"4659 Robles Brooks, Gonzalezmouth, NV 05822","700 Kelly Mountains, South Cynthia, AS 48387",Stewartbury,07602,French Southern Territories,649.642.6050,2023-12-28,1
10,Estrada,Sara,harmongina@example.com,%j87(Mhrn&,"240 Brown Shores, North Kathy, TN 25988","Unit 1471 Box 2197, DPO AA 83146",East Brianview,13598,Guernsey,(754)231-8328x106,2023-09-30,5
