nom,prenom,ville,sum(paiement.montant)
Mercier,David,Bordeaux,340.95
Vidal,Alice,Strasbourg,239.70
Petit,Luc,Nice,237.93
Pires,Marion,Marseille,180.00
Lemoine,Claire,Paris,178.40
Gauthier,Thomas,Strasbourg,162.00
Hernandez,Carlos,Strasbourg,159.99
Robert,Sophie,Toulouse,144.00
Lemoine,Jean,Nice,140.00
Dufresne,Jules,Toulouse,135.00
Baron,Laurent,Paris,132.50
Bernard,Julien,Lille,129.90
Nicolas,Georges,Nantes,118.99
Goujon,Estelle,Lille,114.00
Petit,Laurence,Nantes,111.25
Lemoine,Paul,Lille,110.00
Girard,Victor,Lyon,109.99
Denis,Amandine,Nice,99.98
Lemoine,Alice,Bordeaux,99.95
Durand,Marie,Marseille,90.00
Maillard,Isabelle,Lyon,90.00
Guilbert,Michel,Lille,89.99
Dupont,Jean,Paris,89.97
Deschamps,Sylvain,Marseille,85.00
Dufresne,Sarah,Toulouse,80.00
Leclerc,Audrey,Bordeaux,61.25
Rousseau,Michel,Lyon,60.00
Truong,Thi,Toulouse,59.97
Blanc,Isabelle,Nantes,56.25
Martin,Pierre,Lyon,15.50
